project,req_id,text,type,priority,hybrid_label,source,filename,n_chars,n_words
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,13,"Sistem, portföyün risk seviyesini düşük, orta veya yüksek şeklinde sınıflandırarak kullanıcıya risk profili gösterebilmelidir.",FR,Could,FR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,126,14
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,14,"Kullanıcı, portföyünün geçmiş performansını CSV formatında dışa aktararak diğer uygulamalarda analiz edebilmelidir.",FR,Could,FR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,115,12
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,15,"Sistem, kullanıcıya yatırım hedeflerine göre kişiselleştirilmiş portföy önerileri sunabilmelidir.",FR,Could,FR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,97,9
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,16,"Sistem, kullanıcı verilerini SQLite veritabanında güvenli bir şekilde saklamalı ve veri bütünlüğünü korumalıdır.",NFR,Must,NFR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,112,13
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,17,Yfinance veri çağrımı sırasında bağlantı hataları için uygun hata yönetimi uygulanmalı ve kullanıcı bilgilendirilmelidir.,NFR,Must,NFR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,121,14
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,18,"Arayüz, kullanıcıların temel finansal bilgileri rahatça anlayacağı şekilde sade ve sezgisel bir tasarıma sahip olmalıdır.",NFR,Must,NFR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,121,15
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,19,"Sistem, normal koşullarda portföy değer hesaplamalarını birkaç saniyeden kısa sürede tamamlamalıdır.",NFR,Must,NFR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,100,11
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,20,"Kod tabanı, Python dil standartlarına ve temel yazılım geliştirme güvenlik ilkelerine uygun şekilde yazılmalıdır.",NFR,Must,NFR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,113,14
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,21,"Sistem, farklı donanımlarda benzer performans gösterecek şekilde optimize edilmelidir.",NFR,Should,NFR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,86,9
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,22,"Veritabanı sorguları, büyüyen portföylerde performans kaybı yaşamamak için indeksleme stratejileri kullanılarak optimize edilmelidir.",NFR,Should,NFR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,133,13
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,23,"Arayüz, küçük ekranlı cihazlarda da kullanılabilirlik sağlayacak şekilde esnek tasarlanmalıdır.",NFR,Should,NFR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,95,10
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,24,"Sistem, kullanıcı işlemlerini güncel tutmak için belirli aralıklarla veri yenileme politikası uygulamalıdır.",NFR,Should,NFR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,108,12
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,25,"Uygulama, olası çökmeleri önlemek için düzenli istisna yönetimi ve loglama mekanizmalarıyla desteklenmelidir.",NFR,Should,NFR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,109,12
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,26,"Sistem, büyük veri setleriyle çalışırken bellek kullanımını azaltmak için veri akış (stream) işleme yöntemlerini destekleyebilmelidir.",NFR,Could,NFR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,134,15
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,27,"Uygulama, kullanıcı davranışlarını analiz ederek gelecekteki sürümlerde kullanılmak üzere anonim geri bildirim toplayabilmelidir.",NFR,Could,NFR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,129,13
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,28,"Sistem, kullanıcıların finansal verilerini şifreli yedek dosyalar şeklinde dışa aktarmayı destekleyebilmelidir.",NFR,Could,NFR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,111,11
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,29,"Uygulama, işlem hacmi arttığında performansı korumak için çok iş parçacıklı hesaplama tekniklerinden yararlanabilmelidir.",NFR,Could,NFR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,121,13
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,30,"Sistem, ileride mobil platformlara taşınmaya uygun olacak modüler bir mimari ile geliştirilebilmelidir.",NFR,Could,NFR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,103,12
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,1,"RGX kütüphanesi, Haskell diliyle yazılmış masaüstü uygulamalarında kullanılmak üzere buton, metin alanı, etiket, liste ve açılır menü gibi temel GUI bileşenlerini sağlayabilmelidir.",FR,Must,FR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,181,22
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,2,"RGX, SDL2 üzerinden işletim sisteminin pencere ve girdi olaylarına erişerek fare ve klavye etkileşimlerini uygulamaya iletebilmelidir.",FR,Must,FR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,134,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,3,"RGX, Cairo veya benzeri bir çizim arka ucunu kullanarak tüm widget’ların ekrana çizimini gerçekleştirebilmelidir.",FR,Must,FR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,113,14
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,4,"RGX, Pango kullanarak çok dilli metinleri doğru font ölçümleriyle görüntüleyebilmeli ve metin düzeni hesaplamalarını yapabilmelidir.",FR,Must,FR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,132,15
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,5,"RGX, Reflex tabanlı fonksiyonel reaktif programlama yapısını kullanarak kullanıcı olayları ile GUI durumunu birbirine bağlayan reaktif sinyaller tanımlayabilmelidir.",FR,Must,FR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,165,18
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,6,"RGX, dikey ve yatay düzenler ile kaydırılabilir alanlar gibi yerleşim (layout) yardımcılarını sağlayarak karmaşık arayüzlerin düzenlenmesini destekleyebilmelidir.",FR,Should,FR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,162,17
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,7,"RGX, tema ve stil özellikleriyle widget’ların renk, yazı tipi ve kenarlık gibi görsel özniteliklerini yapılandırılabilir hâle getirebilmelidir.",FR,Should,FR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,143,17
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,8,"RGX, zaman tabanlı animasyonlar için FRP sinyalleri üzerinden animasyonlu geçişler ve görsel efektler tanımlamaya izin verebilmelidir.",FR,Should,FR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,134,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,9,"RGX, birden fazla pencereyi aynı uygulama içinde oluşturma ve yönetme yeteneğine sahip olmalıdır.",FR,Should,FR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,97,13
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,10,"RGX, ileti kutuları veya modal pencereler gibi açılır diyalog bileşenlerini destekleyerek kullanıcıdan ek onay veya giriş alabilmelidir.",FR,Should,FR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,136,17
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,11,"RGX, ses dosyalarının çalınmasını sağlayan basit bir ses oynatma arabirimi sunabilmelidir.",FR,Could,FR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,90,11
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,12,"RGX, geliştiricilerin düşük seviye çizim bağlamına erişerek özel widget veya bileşenler (örneğin video oynatıcı veya PDF önizleyici) eklemesine izin verebilmelidir.",FR,Could,FR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,164,20
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,13,"RGX, uygulama içinde tanılama amacıyla olay ve durum değişikliklerini izleyen isteğe bağlı bir izleme paneli sağlayabilmelidir.",FR,Could,FR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,127,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,14,"RGXSyncthing örnek uygulaması, Syncthing web arayüzündeki temel işlevleri (oturum açma, klasör listesi, cihaz listesi) kısmen yeniden oluşturabilmelidir.",FR,Could,FR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,153,17
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,15,"RGXSyncthing, Syncthing örneği üzerinden RGX kütüphanesinin form girişleri, butonlar ve liste görünümleri gibi bileşenlerini sergileyen bir vitrin uygulaması olarak kullanılabilmelidir.",FR,Could,FR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,185,20
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,16,"RGX, tamamen Haskell ile yazılmış olmalı ve harici dillerde ek iş mantığı gerektirmeyen saf bir Haskell GUI çözümü sunmalıdır.",NFR,Must,NFR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,126,19
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,17,"RGX tabanlı uygulamalar, küçük ve orta ölçekli arayüzlerde kullanıcı etkileşimlerine gözle görülür gecikme olmadan yanıt verebilmelidir.",NFR,Must,NFR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,136,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,18,"RGX, widget hiyerarşisi ve olay işleme zincirinde oluşan hataları geliştiriciye anlamlı hata mesajları ile bildirmelidir.",NFR,Must,NFR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,121,15
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,19,"Kütüphane, Haskell paket ekosistemiyle uyumlu olacak şekilde standart paketleme ve sürümleme yöntemlerini takip etmelidir.",NFR,Must,NFR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,122,14
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,20,"RGX, masaüstü ortamında çalışırken hedeflenen platformlarda (örneğin Linux ve Windows) kararlı şekilde çalışmalıdır.",NFR,Must,NFR-Must,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,116,13
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,21,"RGX, ekrana çizim yaparken mümkün olduğunca GPU hızlandırmasından yararlanacak kütüphanelerle (örneğin OpenGL tabanlı arka uçlar) birlikte kullanılabilecek şekilde tasarlanmalıdır.",NFR,Should,NFR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,180,19
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,22,RGX tabanlı arayüzlerde eleman sayısı arttığında performansın ne ölçüde düştüğü izlenebilmeli ve profil araçları ile darboğazlar tespit edilebilmelidir.,NFR,Should,NFR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,152,18
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,23,"RGX, Chromium [about:tracing] benzeri izleme çıktıları üretip performans profillerini dosya olarak kaydedebilmelidir.",NFR,Should,NFR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,117,12
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,24,"Kütüphane, FRP mantığının anlaşılmasını kolaylaştırmak için temel kullanım senaryolarını gösteren iyi belgelenmiş örnek projelerle birlikte dağıtılmalıdır.",NFR,Should,NFR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,155,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,25,"RGX, farklı tema ve stil ayarları uygulandığında bile tutarlı görünüm ve davranış sağlayacak şekilde standart widget sözleşmelerine uymalıdır.",NFR,Should,NFR-Should,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,142,18
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,26,"RGX, gelecekte Cairo yerine OpenGL veya Skia gibi alternatif çizim altyapılarına geçişi kolaylaştırmak için soyutlanmış bir render katmanı sunabilmelidir.",NFR,Could,NFR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,154,19
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,27,"RGX tabanlı uygulamalar, yüksek DPI ekranlarda da net görüntü sağlayacak şekilde çözünürlük bağımsız çizim tekniklerini kullanabilmelidir.",NFR,Could,NFR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,138,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,28,"Kütüphane, klavye kısayolları ve erişilebilirlik özellikleriyle engelli kullanıcıların da arayüzü rahatlıkla kullanmasına olanak sağlayacak yönergeler sunabilmelidir.",NFR,Could,NFR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,166,16
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,29,"RGX, büyük ölçekte üretim ortamına geçmeden önce karmaşık arayüzlerde karşılaşılan ölçeklenebilirlik sorunlarını belgeleyen bir “bilinen sınırlılıklar” listesi ile desteklenebilmelidir.",NFR,Could,NFR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,185,19
A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application,30,"Kütüphane, yeni widget türlerinin veya üçüncü taraf Haskell paketlerinin entegrasyonunu kolaylaştıracak eklenti dostu bir API tasarımına sahip olabilmelidir.",NFR,Could,NFR-Could,Translated,A Comprehensive Pure-Haskell Native Desktop Reflex-based Functional Reactive Programming GUI Framework  Example Application.xml,157,18
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,1,"Mobil uygulama, kullanıcıların e-posta veya benzeri kimlik bilgileriyle hesap oluşturmasına ve Firebase Authentication üzerinden oturum açmasına izin vermelidir.",FR,Must,FR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,161,18
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,2,"Uygulama, Health Central tabanlı stres ölçeğine göre tasarlanmış bir başlangıç stres testi sunarak kullanıcının başlangıç stres düzeyini belirleyebilmelidir.",FR,Must,FR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,157,18
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,3,"Uygulama, her girişte veya belirli aralıklarla kullanıcıdan güncel stres düzeyini girmesini isteyerek Firestore üzerinde kronolojik bir stres günlüğü kaydedebilmelidir.",FR,Must,FR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,168,19
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,4,"Uygulama, kullanıcıların çevrim içi bir akran forumunda gönderi paylaşmasına, yorum yapmasına ve paylaşılan stres yönetimi deneyimlerini görüntülemesine olanak tanımalıdır.",FR,Must,FR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,172,19
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,5,"Sistem, Python/Django tabanlı makine öğrenmesi servisine RESTful API üzerinden çağrı yaparak forum mesajları ve ilgili verilerden kullanıcının yüksek stres riski taşıyıp taşımadığını sınıflandırabilmelidir.",FR,Must,FR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,206,23
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,6,"Uygulama, kullanıcıya uyku müzikleri ve meditasyon sesleri arasından seçim yapma imkânı vererek kişiselleştirilmiş gevşeme oturumları başlatabilmelidir.",FR,Should,FR-Should,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,152,16
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,7,"Sistem, kullanıcı stres testi sonuçları ve stres günlüğü verilerini kullanarak kişiselleştirilmiş “günün ipucu” önerileri üretebilmelidir.",FR,Should,FR-Should,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,138,15
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,8,"Öneri sistemi, kullanıcıların ipuçlarına verdiği beğeni veya değerlendirme puanlarını kullanarak collaborative filtering yaklaşımıyla sonraki ipuçlarını uyarlayabilmelidir.",FR,Should,FR-Should,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,172,16
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,9,"Uygulama, kullanıcının stres günlüklerini zaman ekseninde grafiksel olarak göstererek stres düzeyi eğilimlerini ve olası tetikleyicileri görselleştirebilmelidir.",FR,Should,FR-Should,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,161,16
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,10,"Sistem, makine öğrenmesi uyarı sistemi tarafından yüksek stres riski taşıdığı tespit edilen kullanıcılar için uygulama içi bildirim veya uyarı mesajı gösterebilmelidir.",FR,Should,FR-Should,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,168,21
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,11,"Sistem, yüksek riskli kullanıcı için kullanıcının izniyle okul rehberlik birimi veya güvenilir bir yetişkinle iletişime geçilmesini kolaylaştıran bir “yardım iste” fonksiyonu sunabilmelidir.",FR,Could,FR-Could,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,190,22
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,12,"Uygulama, kullanıcılara benzer stres profiline sahip akranların gönderilerini ön plana çıkaran kişiselleştirilmiş forum akışı sağlayabilmelidir.",FR,Could,FR-Could,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,144,15
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,13,"Sistem, kullanıcıların stres yönetimiyle ilgili hedefler belirlemesine ve bu hedeflerin tamamlanma durumunu takip etmesine izin verebilen bir hedef takip modülü sunabilmelidir.",FR,Could,FR-Could,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,176,21
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,14,"Uygulama, seçilen stres seviyesi veya anahtar kelimelere göre forum gönderilerini filtrelemeye ve arama yapmaya imkân tanımalıdır.",FR,Could,FR-Could,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,130,16
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,15,"Sistem, kullanıcıların uygulama içi etkinliklerini (meditasyon süresi, forum katılımı, stres kayıt sıklığı) özetleyen kişisel bir “iyilik hâli panosu” gösterebilmelidir.",FR,Could,FR-Could,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,169,19
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,16,Uygulama ile Firebase ve Django sunucusu arasındaki tüm veri iletişimi HTTPS üzerinden şifreli olarak gerçekleştirilmelidir.,NFR,Must,NFR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,124,15
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,17,"Kullanıcı kimlik bilgileri ve hassas veriler, erişim kontrolü ve kimlik doğrulama politikalarıyla korunmalı ve yetkisiz kullanıcılar tarafından görüntülenememelidir.",NFR,Must,NFR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,165,18
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,18,"Makine öğrenmesi tabanlı stres uyarı sistemi, belirlenen test veri kümesinde yüksek stresli kullanıcıları tespit etmede kabul edilebilir bir doğruluk eşiğini (örneğin belirlenen minimum F1 skoru) karşılamalıdır.",NFR,Must,NFR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,211,26
A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management,19,"Mobil uygulama, tipik bir mobil cihazda temel ekran geçişleri ve veri yükleme işlemlerini kullanıcı için rahatsız edici gecikme oluşturmadan tamamlayabilmelidir.",NFR,Must,NFR-Must,ETU,A Machine Learning-Driven Online Mobile Application for Personalized Student Stress Management.xml,161,20
